id	Centroid_X	Centroid_Y	Centroid_Z	UMAP_1	UMAP_2	Cell_class	Bregma	Neuron_cluster_ID	Gad1	Slc17a6	Aqp4	Esr1	total_counts
cell_42568	349.9	101.1	40.0	12.858	6.182	Inhibitory	0.01	I-16	35.6	7.4	1.6	3.2	372.1
cell_42569	357.2	149.2	40.0	5.429	6.664	Astrocyte	0.01		3.8	0.0	24.2	0.0	265.8
cell_42570	359.3	200.9	40.0	4.883	6.323	Astrocyte	0.01		1.3	0.0	41.4	1.3	265.6
cell_42571	364.6	95.9	40.0	10.716	-0.693	Ambiguous	0.01		3.3	0.8	10.8	0.0	299.2
cell_42572	365.3	131.7	40.0	1.4	3.794	Endothelial 1	0.01		11.5	0.7	2.7	3.4	342.0
cell_42573	369.4	111.5	40.0	4.526	2.466	OD Immature 2	0.01		2.9	0.0	0.0	0.0	440.1
cell_42574	370.2	201.4	40.0	12.661	5.768	Inhibitory	0.01	I-14	37.7	0.0	0.0	0.0	422.0
cell_42575	372.4	212.7	40.0	13.897	5.102	Inhibitory	0.01	I-14	43.5	0.7	0.0	12.6	407.6
cell_42576	374.6	69.7	40.0	13.117	6.087	Inhibitory	0.01	I-14	37.1	1.5	0.0	1.5	335.1
cell_42577	379.5	225.2	40.0	2.243	3.435	Microglia	0.01		0.0	0.0	7.9	4.0	401.7
cell_42578	379.0	186.5	40.0	7.542	0.233	Ambiguous	0.01		27.5	0.0	0.0	9.6	457.2
cell_42579	383.3	216.6	40.0	11.428	-1.143	Excitatory	0.01	E-16	11.9	4.9	1.0	2.0	401.3
cell_42580	382.1	175.3	40.0	11.445	3.392	Inhibitory	0.01	I-3	53.3	3.2	0.0	8.1	382.4
cell_42581	386.7	85.9	40.0	6.905	0.502	Ambiguous	0.01		20.5	1.9	1.9	0.6	436.9
cell_42582	395.0	198.3	40.0	11.72	1.835	Inhibitory	0.01	I-13	38.9	1.5	0.7	0.0	358.1
cell_42583	394.9	115.6	40.0	13.089	5.179	Inhibitory	0.01	I-14	23.1	0.8	0.8	9.1	317.7
cell_42584	396.7	48.1	40.0	12.998	5.39	Inhibitory	0.01	I-16	15.7	7.9	1.6	4.7	413.2
cell_42585	393.1	147.4	40.0	13.511	3.883	Ambiguous	0.01		23.6	1.0	7.0	13.1	377.8
cell_42586	404.8	132.8	40.0	3.48	0.326	Ambiguous	0.01		3.1	0.0	10.7	1.5	411.3
cell_42587	406.9	69.6	40.0	10.863	-1.927	Excitatory	0.01	E-19	6.2	4.2	0.0	0.0	387.6
cell_42588	413.5	110.0	40.0	10.039	6.322	Inhibitory	0.01	I-34	13.0	0.0	0.0	19.5	305.2
cell_42589	413.7	58.6	40.0	4.872	5.355	Astrocyte	0.01		0.0	0.0	29.1	0.0	248.1
cell_42590	413.6	216.9	40.0	11.445	2.579	Excitatory	0.01	E-17	3.5	20.0	0.9	1.7	349.8
cell_42591	415.5	176.0	40.0	-1.336	3.188	Endothelial 1	0.01		5.5	0.0	2.8	0.0	430.2
cell_42592	417.4	125.4	40.0	13.347	5.428	Inhibitory	0.01	I-14	42.1	0.9	1.9	5.6	415.2
cell_42593	416.5	89.6	40.0	1.408	4.754	Endothelial 2	0.01		1.1	1.1	14.9	0.0	370.2
cell_42594	415.4	138.6	40.0	13.286	6.09	Inhibitory	0.01	I-14	23.5	4.3	11.8	0.0	333.4
cell_42595	422.9	47.2	40.0	2.958	3.377	Microglia	0.01		7.2	0.0	0.0	2.4	286.9
cell_42596	430.6	122.7	40.0	12.103	2.276	Ambiguous	0.01		24.9	0.0	7.6	6.2	377.2
cell_42597	432.6	100.6	40.0	2.768	0.227	OD Mature 2	0.01		0.0	0.0	2.8	1.4	398.0
cell_42598	434.1	175.1	40.0	13.247	5.907	Inhibitory	0.01	I-14	22.5	0.0	8.2	6.1	329.5
cell_42599	444.0	57.8	40.0	8.863	6.231	Inhibitory	0.01	I-14	24.0	0.0	0.0	0.0	212.3
cell_42600	446.6	148.6	40.0	-0.098	6.305	Pericytes	0.01		0.0	0.0	0.0	0.0	427.4
cell_42601	445.6	192.3	40.0	10.989	7.611	Excitatory	0.01	E-23	1.6	11.6	1.1	2.1	329.6
cell_42602	450.4	228.3	40.0	12.48	6.466	Ambiguous	0.01		32.6	1.9	6.5	0.0	255.3
cell_42603	456.9	172.0	40.0	12.968	5.738	Inhibitory	0.01	I-14	38.2	1.2	0.0	4.6	301.0
cell_42604	468.7	47.0	40.0	12.583	0.404	Excitatory	0.01	E-24	23.8	18.2	0.7	6.3	320.9
cell_42605	467.3	147.4	40.0	3.332	5.461	Ambiguous	0.01		5.9	0.0	23.4	0.0	276.8
cell_42606	470.4	211.2	40.0	10.95	6.405	Inhibitory	0.01	I-14	39.8	0.0	0.0	22.1	336.5
cell_42607	475.0	189.5	40.0	12.407	-1.508	Excitatory	0.01	E-28	0.0	5.5	0.0	3.5	288.0
cell_42608	479.2	77.8	40.0	11.64	2.885	Ambiguous	0.01		15.8	0.7	0.0	17.9	354.1
cell_42609	487.8	135.5	40.0	12.041	-0.691	Ambiguous	0.01		20.4	5.9	3.2	7.0	381.0
cell_42610	500.9	213.0	40.0	3.18	5.987	Astrocyte	0.01		0.0	0.0	3.2	0.0	236.9
cell_42611	503.6	41.7	40.0	-0.737	2.909	Ambiguous	0.01		4.2	0.0	0.0	0.0	409.8
cell_42612	321.5	222.6	40.0	13.201	5.431	Inhibitory	0.01	I-14	44.7	1.2	0.0	12.4	346.7
cell_42613	325.0	197.9	40.0	1.621	-0.643	OD Mature 2	0.01		0.0	0.0	0.0	0.0	353.4
cell_42614	366.4	183.5	40.0	9.919	3.445	Inhibitory	0.01	I-22	36.4	1.2	0.0	1.2	289.7
